gm_id,n_stems,wall_seconds,active_seconds,label,wall_hours,active_hours,active_frac
99,70,13468.869659863945,5983.943696145125,FX 4 (atmosphere) (99),3.74135268329554,1.6622065822625347,0.44427957558879305
95,70,15074.915555555555,5561.316961451247,Pad 8 (sweep) (95),4.187476543209876,1.544810267069791,0.36891198102942185
85,60,9647.15560090703,5446.276145124717,Lead 6 (voice) (85),2.679765444696397,1.512854484756866,0.5645473516165382
17,41,9248.363922902494,5107.839727891156,Percussive Organ (17),2.568989978584026,1.4188443688586545,0.5522965759643376
117,78,14191.932517006802,5101.573242630386,Melodic Tom (117),3.942203476946334,1.4171036785084405,0.35946994790997994
23,46,6555.207097505669,4388.528888888889,Tango Accordion (23),1.8208908604182412,1.219035802469136,0.6694721957081683
109,65,7538.947482993197,4351.420226757369,Bagpipe (109),2.094152078609221,1.2087278407659359,0.577192006785239
18,48,8822.032925170068,3941.2844897959185,Rock Organ (18),2.45056470143613,1.0948012471655328,0.44675467924757717
94,55,10926.38088435374,3901.204149659864,Pad 7 (halo) (94),3.0351058012093723,1.0836678193499623,0.35704449542357386
78,64,13915.749387755102,3757.027006802721,Whistle (78),3.865485941043084,1.0436186130007559,0.2699838077070176
96,40,7830.291156462585,3614.6681632653062,FX 1 (rain) (96),2.1750808767951626,1.0040744897959184,0.46162627813424373
50,27,7603.172426303855,3350.3797052154196,Synth Strings 1 (50),2.1119923406399597,0.9306610292265054,0.44065549449128383
36,17,5527.279455782313,3348.6448979591837,Slap Bass 1 (36),1.5353554043839757,0.9301791383219955,0.6058396223219779
10,59,16678.52961451247,3022.108367346939,Music Box (10),4.632924892920131,0.8394745464852608,0.18119752983004658
15,47,7756.996621315193,2965.540158730159,Dulcimer (15),2.154721283698665,0.8237611552028219,0.3823052018072626
38,24,4622.022448979592,2937.681179138322,Synth Bass 1 (38),1.2838951247165533,0.816022549760645,0.6355834943611918
97,33,10212.455328798185,2798.488752834467,FX 2 (soundtrack) (97),2.8367931468883847,0.777357986898463,0.27402702511148186
107,42,9452.811609977323,2778.8961224489794,Koto (107),2.6257810027714785,0.771915589569161,0.29397561668486966
98,33,7093.714376417233,2356.668911564626,FX 3 (crystal) (98),1.9704762156714537,0.6546302532123961,0.332219312268799
62,22,3543.021133786848,2184.89843537415,Synth Brass 1 (62),0.9841725371630133,0.606916232048375,0.6166766589503486
49,21,3311.804671201814,2125.9690249433106,String Ensemble 2 (49),0.9199457420005039,0.5905469513731418,0.6419367191036125
93,24,6814.734512471655,1924.8486848072562,Pad 6 (metallic) (93),1.8929818090199042,0.5346801902242379,0.2824539505221499
87,16,4110.681201814059,1827.8601814058957,Lead 8 (bass + lead) (87),1.1418558893927941,0.5077389392794155,0.4446611380613155
102,27,9483.299410430838,1694.5232199546485,FX 7 (echoes) (102),2.6342498362307882,0.4707008944318468,0.1786849857435498
110,18,2873.8742857142856,1588.1153741496598,Fiddle (110),0.7982984126984127,0.4411431594860166,0.5526043299959248
108,21,3283.693424036281,1570.9886621315193,Kalimba (108),0.9121370622323003,0.4363857394809776,0.4784212346475624
92,22,3874.064739229025,1426.425351473923,Pad 5 (bowed) (92),1.0761290942302846,0.39622926429831196,0.3681986356680748
45,18,3696.4890702947846,1008.6512471655328,Pizzicato Strings (45),1.026802519526329,0.2801809019904258,0.2728673690045824
104,12,2177.3743310657596,972.785850340136,Sitar (104),0.6048262030738221,0.27021829176114887,0.4467701471726207
106,15,2254.985918367347,945.0387301587301,Shamisen (106),0.626384977324263,0.26251075837742505,0.41908852842990535
119,52,12789.53120181406,916.5106349206349,Reverse Cymbal (119),3.552647556059461,0.25458628747795414,0.07166100308591745
116,12,3905.491882086168,854.9474603174604,Taiko Drum (116),1.0848588561350467,0.237485405643739,0.21890903530972886
55,17,4992.088526077097,852.6418820861678,Orchestra Hit (55),1.386691257243638,0.23684496724615772,0.17079863019901095
31,14,4858.134807256236,719.7572108843538,Guitar Harmonics (31),1.34948189090451,0.19993255857898715,0.14815505115446895
84,11,1132.8072562358277,590.3239909297052,Lead 5 (charang) (84),0.31466868228772993,0.16397888636936256,0.5211160042276527
112,17,3084.8957823129253,573.512925170068,Tinkle Bell (112),0.8569154950869237,0.15930914588057443,0.18590998388285004
82,6,1144.295328798186,572.1880498866213,Lead 3 (calliope) (82),0.31785981355505166,0.15894112496850593,0.5000352928885682
101,11,1105.8967800453515,533.5166893424037,FX 6 (goblins) (101),0.3071935500125976,0.1481990803728899,0.48242901052711695
76,4,808.9280725623582,511.86770975056686,Blown Bottle (76),0.22470224237843284,0.142185474930713,0.6327728349557411
77,7,914.9619954648526,479.25,Shakuhachi (77),0.25415610985134796,0.133125,0.5237922475200883
83,4,1096.7960090702948,447.9726303854875,Lead 4 (chiff) (83),0.3046655580750819,0.12443684177374653,0.4084375095102817
111,7,942.0785487528344,280.7409750566893,Shanai (111),0.26168848576467624,0.0779836041824137,0.29800166390408395
127,9,1147.3153741496599,257.98909297052154,Gunshot (127),0.3186987150415722,0.07166363693625598,0.22486327541956963
118,4,543.9994331065759,245.253537414966,Synth Drum (118),0.15111095364071553,0.06812598261526832,0.45083417829025185
115,4,694.7236281179138,193.5,Woodblock (115),0.1929787855883094,0.05375,0.2785280249128905
122,6,1942.2084353741498,123.5,Seashore (122),0.5395023431594861,0.034305555555555554,0.06358740789641808
113,3,390.7207256235828,117.25,Agogo (113),0.10853353489543967,0.03256944444444444,0.300086461533033
126,3,526.6271201814059,86.62294784580499,Applause (126),0.14628531116150162,0.024061929957168052,0.16448630259673336
120,4,879.6081632653061,52.75,Guitar Fret Noise (120),0.24433560090702947,0.014652777777777778,0.05996988454970674
123,3,877.3021315192744,18.0,Bird Tweet (123),0.2436950365331318,0.005,0.02051744701546361
